us_product_cat,marc_product_cat,uncertain?
Apparel_v1_00,apparel,
Automotive_v1_00,automotive,
Baby_v1_00,baby_product,
Beauty_v1_00,beauty,
Books_v1_00,book,
Books_v1_01,book,
Books_v1_02,book,
Camera_v1_00,camera,
Digital_Ebook_Purchase_v1_00,digital_ebook_purchase,
Digital_Ebook_Purchase_v1_01,digital_ebook_purchase,
Digital_Music_Purchase_v1_00,x,
Digital_Software_v1_00,x,
Digital_Video_Download_v1_00,digital_video_download,
Digital_Video_Games_v1_00,video_games,?
Electronics_v1_00,electronics,
Furniture_v1_00,furniture,
Gift_Card_v1_00,x,
Grocery_v1_00,grocery,
Health_Personal_Care_v1_00,drugstore,?
Home_Entertainment_v1_00,x,?
Home_Improvement_v1_00,home_improvement,
Home_v1_00,home,
Jewelry_v1_00,jewelry,
Kitchen_v1_00,kitchen,
Lawn_and_Garden_v1_00,lawn_and_garden,
Luggage_v1_00,luggage,
Major_Appliances_v1_00,x,
Mobile_Apps_v1_00,x,
Mobile_Electronics_v1_00,x,
Music_v1_00,x,
Musical_Instruments_v1_00,musical_instruments,
Office_Products_v1_00,office_product,
Outdoors_v1_00,x,
PC_v1_00,pc,
Personal_Care_Appliances_v1_00,personal_care_appliances,
Pet_Products_v1_00,pet_products,
Shoes_v1_00,shoes,
Software_v1_00,x,
Sports_v1_00,sports,
Tools_v1_00,x,
Toys_v1_00,toy,
Video_DVD_v1_00,x,
Video_Games_v1_00,video_games,
Video_v1_00,x,
Watches_v1_00,watch,
Wireless_v1_00,wireless,
